title,movieInfo,star,quote
触不可及 / Intouchables / 闪亮人生(港)/逆转人生(台),导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...;2011 / 法国 / 剧情喜剧;;,9.2,满满温情的高雅喜剧。
怦然心动 / Flipped / 萌动青春/青春萌动,导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...;2010 / 美国 / 剧情喜剧爱情;;,9.0,真正的幸福是来自内心深处。
疯狂动物城 / Zootopia / 优兽大都会(港)/动物方城市(台),导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...;2016 / 美国 / 喜剧动画冒险;;,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
乱世佳人 / GonewiththeWind / 飘,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...;1939 / 美国 / 剧情历史爱情战争;;,9.2,Tomorrow is another day.
蝙蝠侠：黑暗骑士 / TheDarkKnight / 蝙蝠侠前传2：黑暗骑士/黑暗骑士(台),导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...;2008 / 美国英国 / 剧情动作科幻犯罪惊悚;;,9.1,无尽的黑暗。
活着 / 人生/Lifetimes,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang;1994 / 中国大陆香港 / 剧情历史家庭;;,9.1,张艺谋最好的电影。
天堂电影院 / NuovoCinemaParadiso / 星光伴我心(港)/新天堂乐园(台),导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东娜拉·塔莉Antonel...;1988 / 意大利法国 / 剧情爱情;;,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
少年派的奇幻漂流 / LifeofPi / 少年Pi的奇幻漂流/漂流少年Pi,导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...;2012 / 美国台湾英国加拿大 / 剧情奇幻冒险;;,9.0,瑰丽壮观、无人能及的冒险之旅。
十二怒汉 / 12AngryMen / 12怒汉/十二怒汉,导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...;1957 / 美国 / 剧情;;,9.4,1957年的理想主义。 
鬼子来了 / DevilsontheDoorstep,导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...;2000 / 中国大陆 / 剧情历史战争;;,9.2,对敌人的仁慈，就是对自己残忍。
指环王3：王者无敌 / TheLordoftheRings:TheReturnoftheKing / 魔戒三部曲：王者再临(台/港),导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/...;2003 / 美国新西兰 / 剧情动作奇幻冒险;;,9.1,史诗的终章。
控方证人 / WitnessfortheProsecution / 雄才伟略/情妇,导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...;1957 / 美国 / 剧情犯罪悬疑;;,9.6,比利·怀德满分作品。
天空之城 / 天空の城ラピュタ / TenkûnoshiroRapyuta/Laputa:CastleintheSky,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...;1986 / 日本 / 动画奇幻冒险;;,9.0,对天空的追逐，永不停止。 
搏击俱乐部 / FightClub / 搏击会(港)/斗阵俱乐部(台),导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...;1999 / 美国德国 / 剧情动作悬疑惊悚;;,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
飞屋环游记 / Up / 冲天救兵(港)/天外奇迹(台),导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...;2009 / 美国 / 剧情喜剧动画冒险;;,8.9,最后那些最无聊的事情，才是最值得怀念的。 
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒/齐天大圣东游记,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...;1995 / 香港中国大陆 / 喜剧爱情奇幻冒险;;,8.9,旷古烁今。
罗马假日 / RomanHoliday / 金枝玉叶(港)/罗马假期(台),导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...;1953 / 美国 / 喜剧剧情爱情;;,9.0,爱情哪怕只有一天。
摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)/打死不离3父女(港),导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...;2016 / 印度 / 剧情传记运动家庭;;,9.1,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
窃听风暴 / DasLebenderAnderen / 他人的生活/别人的生活,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...;2006 / 德国 / 剧情悬疑;;,9.1,别样人生。
哈尔的移动城堡 / ハウルの動く城 / 呼啸山城/霍尔的移动城堡,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...;2004 / 日本 / 动画奇幻冒险;;,8.9,带着心爱的人在天空飞翔。
辩护人 / 변호인 / 逆权大状(港)/正义辩护人(台),导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...;2013 / 韩国 / 剧情;;,9.2,电影的现实意义大过电影本身。
闻香识女人 / ScentofaWoman / 女人香/女人的芳香,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...;1992 / 美国 / 剧情;;,9.0,史上最美的探戈。
"两杆大烟枪 / Lock,StockandTwoSmokingBarrels / 够姜四小强(港)/两根枪管(台)",导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran;1998 / 英国 / 剧情喜剧犯罪;;,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
飞越疯人院 / OneFlewOvertheCuckoo'sNest / 飞越杜鹃窝(台)/飞越喜鹊巢,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...;1975 / 美国 / 剧情;;,9.0,自由万岁。
死亡诗社 / DeadPoetsSociety / 暴雨骄阳(港)/春风化雨(台),导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...;1989 / 美国 / 剧情;;,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
V字仇杀队 / VforVendetta / V煞(港)/V怪客(台),导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...;2005 / 美国英国德国 / 剧情动作科幻惊悚;;,8.8,一张面具背后的理想与革命。
海豚湾 / TheCove / 血色海湾(台)/海湾,导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...;2009 / 美国 / 纪录片;;,9.3,海豚的微笑，是世界上最高明的伪装。
教父2 / TheGodfather:PartⅡ / 教父续集/教父II,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...;1974 / 美国 / 剧情犯罪;;,9.1,优雅的孤独。
指环王2：双塔奇兵 / TheLordoftheRings:TheTwoTowers / 魔戒二部曲：双城奇谋/指环王II：双塔,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...;2002 / 美国新西兰 / 剧情动作奇幻冒险;;,9.0,承前启后的史诗篇章。
指环王1：魔戒再现 / TheLordoftheRings:TheFellowshipoftheRing / 魔戒首部曲：魔戒现身/指环王I：护戒使者,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...;2001 / 新西兰美国 / 剧情动作奇幻冒险;;,8.9,传说的开始。
美丽心灵 / ABeautifulMind / 有你终生美丽(港)/美丽境界(台),导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...;2001 / 美国 / 传记剧情;;,8.9,爱是一切逻辑和原由。
饮食男女 / 飲食男女 / EatDrinkManWoman,导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...;1994 / 台湾美国 / 剧情家庭;;,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
情书 / LoveLetter / WhenICloseMyEyes/LettersofLove,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...;1995 / 日本 / 剧情爱情;;,8.8,暗恋的极致。
素媛 / 소원 / 许愿/希望：为爱重生(台),导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...;2013 / 韩国 / 剧情;;,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
狮子王 / TheLionKing / 狮子王3D,导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...;1994 / 美国 / 剧情动画冒险歌舞家庭;;,8.9,动物版《哈姆雷特》。
钢琴家 / ThePianist / 战地琴声(台)/战地琴人,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...;2002 / 法国德国英国波兰 / 剧情传记历史战争音乐;;,9.1,音乐能化解仇恨。
美国往事 / OnceUponaTimeinAmerica / 四海兄弟(台)/义薄云天(港),导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...;1984 / 意大利美国 / 犯罪剧情;;,9.1,往事如烟，无处祭奠。
末代皇帝 / TheLastEmperor / 末代皇帝溥仪(港),导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...;1987 / 英国意大利中国大陆法国美国 / 剧情传记历史;;,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
小鞋子 / بچههایآسمان / 天堂的孩子/小童鞋,导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...;1997 / 伊朗 / 剧情家庭儿童;;,9.2,奔跑的孩子是天使。
七宗罪 / Se7en / 火线追缉令(台)/7宗罪,导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...;1995 / 美国 / 剧情犯罪悬疑惊悚;;,8.8,警察抓小偷，老鼠玩死猫。
被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)/令人讨厌的松子的一生(台),导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...;2006 / 日本 / 剧情歌舞;;,8.9,以戏谑来戏谑戏谑。
本杰明·巴顿奇事 / TheCuriousCaseofBenjaminButton / 奇幻逆缘(港)/班杰明的奇幻旅程(台),导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...;2008 / 美国 / 剧情爱情奇幻;;,8.8,在时间之河里感受溺水之苦。
致命魔术 / ThePrestige / 顶尖对决(台)/死亡魔法(港),导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...;2006 / 美国英国 / 剧情悬疑惊悚;;,8.8,孪生蝙蝠侠大战克隆金刚狼。
西西里的美丽传说 / Malèna / 真爱伴我行(台)/玛莲娜,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...;2000 / 意大利美国 / 剧情战争情色;;,8.8,美丽无罪。
黑客帝国 / TheMatrix / 廿二世纪杀人网络(港)/骇客任务(台),导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...;1999 / 美国澳大利亚 / 动作科幻;;,8.9,视觉革命。
让子弹飞 / 让子弹飞一会儿/火烧云,导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...;2010 / 中国大陆香港 / 剧情喜剧动作西部;;,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
